-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 LayerNormLinearQuantFn        24.67%     509.410ms        65.77%        1.358s     319.805us      43.607ms         3.17%        1.137s     267.686us           0 b           0 b      52.91 Gb    -471.28 Gb          4246            --  
                                           aten::linear         0.52%      10.687ms        13.19%     272.410ms      64.157us       0.000us         0.00%     327.704ms      77.180us           0 b           0 b      52.91 Gb           0 b          4246            --  
                                           aten::matmul         1.18%      24.436ms        11.69%     241.302ms      56.830us       0.000us         0.00%     327.704ms      77.180us           0 b           0 b      52.91 Gb           0 b          4246            --  
                                               aten::mm         7.20%     148.564ms         9.89%     204.176ms      48.087us     312.526ms        22.74%     327.704ms      77.180us           0 b           0 b      52.91 Gb      52.91 Gb          4246    166305.160  
                                              aten::div         1.28%      26.324ms         2.25%      46.404ms      10.817us     218.139ms        15.87%     223.651ms      52.133us           0 b           0 b     112.10 Gb     112.10 Gb          4290            --  
                                              aten::abs         1.97%      40.706ms         6.63%     136.974ms      16.130us     109.608ms         7.98%     219.465ms      25.844us           0 b           0 b     215.59 Gb           0 b          8492            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     211.610ms        15.40%     211.610ms      49.837us           0 b           0 b           0 b           0 b          4246            --  
                                              aten::mul         2.65%      54.781ms         4.96%     102.421ms      11.111us     154.890ms        11.27%     155.682ms      16.889us           0 b           0 b     113.06 Gb     113.06 Gb          9218        57.630  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us     154.903ms        11.27%     154.903ms     181.386us           0 b           0 b           0 b           0 b           854            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     146.473ms        10.66%     146.473ms      29.723us           0 b           0 b           0 b           0 b          4928            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x64...         0.00%       0.000us         0.00%       0.000us       0.000us     132.234ms         9.62%     132.234ms      39.355us           0 b           0 b           0 b           0 b          3360            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     109.608ms         7.98%     109.608ms      25.815us           0 b           0 b           0 b           0 b          4246            --  
                                           aten::clamp_         1.93%      39.744ms         4.06%      83.736ms       9.861us     103.633ms         7.54%     105.578ms      12.433us           0 b           0 b           0 b           0 b          8492            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     103.633ms         7.54%     103.633ms      12.204us           0 b           0 b           0 b           0 b          8492            --  
                                            aten::round         1.08%      22.241ms         2.85%      58.882ms      13.868us      95.512ms         6.95%      97.251ms      22.904us           0 b           0 b     108.65 Gb     108.65 Gb          4246            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      95.512ms         6.95%      95.512ms      22.495us           0 b           0 b           0 b           0 b          4246            --  
                                             aten::sort         0.03%     535.284us         0.08%       1.597ms      72.611us      66.159ms         4.81%      91.112ms       4.141ms           0 b           0 b       8.06 Gb       8.06 Gb            22            --  
                                             aten::mean         2.93%      60.457ms         4.78%      98.667ms      23.238us      79.741ms         5.80%      79.963ms      18.833us           0 b           0 b       2.07 Mb       2.07 Mb          4246            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      76.230ms         5.55%      76.230ms      17.953us           0 b           0 b           0 b           0 b          4246            --  
