-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 LayerNormLinearQuantFn        28.13%     745.687ms        72.22%        1.915s     319.994us      17.334ms         1.51%        1.094s     182.854us           0 b           0 b       1.64 Gb    -613.74 Gb          5983            --  
                                              aten::abs         2.39%      63.286ms         7.96%     211.080ms      17.640us     137.712ms        12.01%     275.424ms      23.017us           0 b           0 b     305.01 Gb           0 b         11966            --  
                                              aten::div         1.61%      42.804ms         2.52%      66.866ms      11.061us     264.394ms        23.06%     264.415ms      43.741us           0 b           0 b     155.09 Gb     155.08 Gb          6045            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     264.187ms        23.04%     264.187ms      44.156us           0 b           0 b           0 b           0 b          5983            --  
                                              aten::mul         2.94%      77.959ms         4.85%     128.656ms       9.905us     192.333ms        16.77%     192.333ms      14.807us           0 b           0 b     152.65 Gb     152.65 Gb         12989     81206.159  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     182.622ms        15.93%     182.622ms      26.299us           0 b           0 b           0 b           0 b          6944            --  
                                           aten::clamp_         2.21%      58.577ms         4.02%     106.612ms       8.910us     141.088ms        12.30%     141.088ms      11.791us           0 b           0 b           0 b           0 b         11966            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     141.088ms        12.30%     141.088ms      11.791us           0 b           0 b           0 b           0 b         11966            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     137.712ms        12.01%     137.712ms      23.017us           0 b           0 b           0 b           0 b          5983            --  
                                            aten::round         1.32%      35.091ms         2.20%      58.382ms       9.758us     131.412ms        11.46%     131.412ms      21.964us           0 b           0 b     152.38 Gb     152.38 Gb          5983            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     131.412ms        11.46%     131.412ms      21.964us           0 b           0 b           0 b           0 b          5983            --  
                                             aten::mean         3.53%      93.568ms         6.13%     162.380ms      27.140us     107.578ms         9.38%     107.578ms      17.981us           0 b           0 b       2.92 Mb       2.92 Mb          5983            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     102.848ms         8.97%     102.848ms      17.190us           0 b           0 b           0 b           0 b          5983            --  
                                           aten::linear         0.56%      14.844ms        13.90%     368.567ms      61.602us       0.000us         0.00%      95.083ms      15.892us           0 b           0 b       1.64 Gb    -160.00 Kb          5983            --  
                                           aten::matmul         1.31%      34.834ms        12.15%     322.227ms      53.857us       0.000us         0.00%      95.083ms      15.892us           0 b           0 b       1.64 Gb    -160.00 Kb          5983            --  
                                               aten::mm         8.19%     217.142ms        10.14%     268.703ms      44.911us      95.057ms         8.29%      95.083ms      15.892us           0 b           0 b       1.64 Gb       1.64 Gb          5983   5197036.257  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x64x...         0.00%       0.000us         0.00%       0.000us       0.000us      42.718ms         3.73%      42.718ms      43.063us           0 b           0 b           0 b           0 b           992            --  
sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x...         0.00%       0.000us         0.00%       0.000us       0.000us      31.473ms         2.74%      31.473ms       7.932us           0 b           0 b           0 b           0 b          3968            --  
                           _layer_norm_fwd_quant_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      17.334ms         1.51%      17.334ms       2.897us           0 b           0 b           0 b           0 b          5983            --  
void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm...         0.00%       0.000us         0.00%       0.000us       0.000us      15.290ms         1.33%      15.290ms      15.414us           0 b           0 b           0 b           0 b           992            --  
                                       aten::reciprocal         1.32%      34.913ms         2.19%      58.020ms       9.697us      10.546ms         0.92%      10.546ms       1.763us           0 b           0 b       2.92 Mb       2.92 Mb          5983            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.546ms         0.92%      10.546ms       1.763us           0 b           0 b           0 b           0 b          5983            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.592ms         0.84%       9.592ms       1.603us           0 b           0 b           0 b           0 b          5983            --  
                                            LayerNormFn        11.53%     305.548ms        13.82%     366.333ms     121.827us       7.735ms         0.67%       7.740ms       2.574us           0 b           0 b     624.84 Mb      -1.47 Mb          3007            --  
                           _layer_norm_fwd_1pass_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.735ms         0.67%       7.735ms       2.572us           0 b           0 b           0 b           0 b          3007            --  
                                         SwiGLUFunction         1.82%      48.356ms         2.40%      63.523ms      32.017us       6.337ms         0.55%       6.337ms       3.194us           0 b           0 b     573.50 Mb           0 b          1984            --  
                                              aten::add         0.69%      18.253ms         1.02%      26.980ms      13.390us       5.689ms         0.50%       5.689ms       2.824us           0 b           0 b     305.19 Mb     305.19 Mb          2015        83.726  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       5.229ms         0.46%       5.229ms       0.819us           0 b           0 b           0 b           0 b          6386            --  
                                             aten::mul_         0.24%       6.296ms         0.40%      10.642ms      10.728us       4.578ms         0.40%       4.578ms       4.615us           0 b           0 b           0 b           0 b           992            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.578ms         0.40%       4.578ms       4.615us           0 b           0 b           0 b           0 b           992            --  
                                            aten::copy_         0.36%       9.448ms         1.10%      29.066ms      12.987us       4.290ms         0.37%       4.290ms       1.917us           0 b           0 b           0 b           0 b          2238            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.107ms         0.36%       4.107ms       1.889us           0 b           0 b           0 b           0 b          2174            --  
                                      swiglu_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.769ms         0.33%       3.769ms       3.800us           0 b           0 b           0 b           0 b           992            --  
                                             aten::sort         0.05%       1.219ms         0.14%       3.728ms     120.269us       3.591ms         0.31%       3.671ms     118.414us           0 b           0 b     363.28 Mb     363.28 Mb            31            --  
                                              aten::sub         0.46%      12.143ms         0.74%      19.712ms       9.778us       3.645ms         0.32%       3.645ms       1.808us           0 b           0 b     164.55 Mb     164.55 Mb          2016            --  
                                             aten::rsub         0.34%       9.047ms         1.07%      28.345ms      14.287us       0.000us         0.00%       3.535ms       1.782us       1.36 Kb       2.72 Kb     159.71 Mb           0 b          1984            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.490ms         0.30%       3.490ms       1.787us           0 b           0 b           0 b           0 b          1953            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.488ms         0.30%       3.488ms       3.516us           0 b           0 b           0 b           0 b           992            --  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.819ms         0.25%       2.819ms       2.842us           0 b           0 b           0 b           0 b           992            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x128...         0.00%       0.000us         0.00%       0.000us       0.000us       2.756ms         0.24%       2.756ms      88.906us           0 b           0 b           0 b           0 b            31            --  
                          swiglu_fwd_vectorized4_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.568ms         0.22%       2.568ms       2.588us           0 b           0 b           0 b           0 b           992            --  
                             FusedRecurrentHGRNFunction         3.21%      85.083ms         3.82%     101.189ms     102.005us       2.343ms         0.20%       2.343ms       2.362us           0 b           0 b     310.00 Mb           0 b           992            --  
                        fused_recurrent_hgrn_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.343ms         0.20%       2.343ms       2.362us           0 b           0 b           0 b           0 b           992            --  
                                            aten::clone         0.10%       2.528ms         0.50%      13.271ms      11.902us       0.000us         0.00%       2.278ms       2.043us           0 b           0 b     463.23 Mb           0 b          1115            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.208ms         0.19%       2.208ms       2.226us           0 b           0 b           0 b           0 b           992            --  
                                             aten::topk         0.06%       1.486ms         0.14%       3.711ms     119.708us       2.156ms         0.19%       2.156ms      69.540us           0 b           0 b     589.00 Kb     585.50 Kb            31            --  
                                          aten::sigmoid         0.26%       6.797ms         0.43%      11.274ms      11.365us       2.069ms         0.18%       2.069ms       2.085us           0 b           0 b     155.00 Mb     155.00 Mb           992            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.069ms         0.18%       2.069ms       2.085us           0 b           0 b           0 b           0 b           992            --  
