-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 LayerNormLinearQuantFn        32.73%        6.940s        71.04%       15.061s     406.445us      87.411ms         1.68%        4.962s     133.904us           0 B           0 B      19.92 GB   -3818.44 GB         37056            --  
                                              aten::abs         2.12%     449.970ms         7.10%        1.504s      20.299us     956.009ms        18.34%        1.912s      25.802us           0 B           0 B    1904.55 GB           0 B         74112            --  
                                              aten::div         1.19%     251.731ms         2.03%     429.666ms      11.476us        1.081s        20.73%        1.081s      28.870us           0 B           0 B     953.67 GB     953.67 GB         37440            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        1.080s        20.71%        1.080s      29.138us           0 B           0 B           0 B           0 B         37056            --  
                                              aten::mul         2.43%     515.733ms         4.19%     887.588ms      11.033us        1.008s        19.33%        1.008s      12.526us           0 B           0 B     954.08 GB     954.08 GB         80448       502.954  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     967.789ms        18.57%     967.789ms      22.503us           0 B           0 B           0 B           0 B         43008            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     956.009ms        18.34%     956.009ms      25.799us           0 B           0 B           0 B           0 B         37056            --  
                                           aten::linear         0.75%     159.398ms        11.68%        2.475s      66.803us       0.000us         0.00%     546.811ms      14.756us           0 B           0 B      19.92 GB    -320.00 KB         37056            --  
                                           aten::matmul         1.26%     267.156ms         9.71%        2.059s      55.565us       0.000us         0.00%     546.811ms      14.756us           0 B           0 B      19.92 GB           0 B         37056            --  
                                               aten::mm         5.88%        1.246s         7.75%        1.643s      44.336us     546.614ms        10.49%     546.811ms      14.756us           0 B           0 B      19.92 GB      19.92 GB         37056     63370.313  
                                            aten::round         1.06%     225.211ms         1.85%     392.763ms      10.599us     451.032ms         8.65%     451.077ms      12.173us           0 B           0 B     946.72 GB     946.72 GB         37056            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     451.032ms         8.65%     451.032ms      12.172us           0 B           0 B           0 B           0 B         37056            --  
                                           aten::clamp_         2.12%     448.998ms         3.81%     806.939ms      10.888us     432.905ms         8.30%     432.921ms       5.841us           0 B           0 B           0 B           0 B         74112            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     432.905ms         8.30%     432.905ms       5.841us           0 B           0 B           0 B           0 B         74112            --  
                                             aten::mean         2.98%     632.870ms         5.41%        1.147s      30.956us     364.407ms         6.99%     364.454ms       9.835us           0 B           0 B      18.09 MB      18.09 MB         37056            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     350.313ms         6.72%     350.313ms       9.454us           0 B           0 B           0 B           0 B         37056            --  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us     160.144ms         3.07%     160.144ms       6.726us           0 B           0 B           0 B           0 B         23808            --  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     138.956ms         2.67%     138.956ms      23.346us           0 B           0 B           0 B           0 B          5952            --  
                           _layer_norm_fwd_quant_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      87.411ms         1.68%      87.411ms       2.359us           0 B           0 B           0 B           0 B         37056            --  
